	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Petromyzon_marinus	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0.743589743589744	1	0.897435897435897	0	1	1	0	1	1	1	1	1	1	0.974358974358974	1	0	0.987179487179487	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	0	1	1	0	1	1	0.602564102564103	1	1	1	0	0	1	0.653846153846154	1	1
Petrosia_ficiformis	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0.743589743589744	1	0.897435897435897	0	1	1	0	1	1	1	1	1	1	0.974358974358974	1	0	0.987179487179487	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	0	1	1	0	1	1	0.602564102564103	1	1	1	0	0	1	0.653846153846154	1	1
Pleurobrachia_pileus	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0.743589743589744	1	0.897435897435897	0	1	1	0	1	1	1	1	1	1	0.974358974358974	1	0	0.987179487179487	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	0	1	1	0	1	1	0.602564102564103	1	1	1	0	0	1	0.653846153846154	1	1
Pocillopora_damicornis	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0.743589743589744	1	0.897435897435897	0	1	1	0	1	1	1	1	1	1	0.974358974358974	1	0	0.987179487179487	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	0	1	1	0	1	1	0.602564102564103	1	1	1	0	0	1	0.653846153846154	1	1
Polypodium_hydriforme	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0.743589743589744	1	0.897435897435897	0	1	1	0	1	1	1	1	1	1	0.974358974358974	1	0	0.987179487179487	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	0	1	1	0	1	1	0.602564102564103	1	1	1	0	0	1	0.653846153846154	1	1
Porites_australiensis	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0.743589743589744	1	0.897435897435897	0	1	1	0	1	1	1	1	1	1	0.974358974358974	1	0	0.987179487179487	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	0	1	1	0	1	1	0.602564102564103	1	1	1	0	0	1	0.653846153846154	1	1
Saccoglossus_kowalevskii	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0.743589743589744	1	0.897435897435897	0	1	1	0	1	1	1	1	1	1	0.974358974358974	1	0	0.987179487179487	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		0	1	1	0	1	1	0.602564102564103	1	1	1	0	0	1	0.653846153846154	1	1
Salpingoeca_sp_ATCC50818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sarcotragus_fasciculatus	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0.743589743589744	1	0.897435897435897	0	1	1	0	1	1	1	1	1	1	0.974358974358974	1	0	0.987179487179487	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0		1	0	1	1	0.602564102564103	1	1	1	0	0	1	0.653846153846154	1	1
Sphaeroforma_arctica_jp610	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0.743589743589744	1	0.897435897435897	0	1	1	0	1	1	1	1	1	1	0.974358974358974	1	0	0.987179487179487	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1		0	1	1	0.602564102564103	1	1	1	0	0	1	0.653846153846154	1	1
Sphaeromyxa_zaharoni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0
Stephanoeca_diplocostata	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0.743589743589744	1	0.897435897435897	0	1	1	0	1	1	1	1	1	1	0.974358974358974	1	0	0.987179487179487	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0		1	0.602564102564103	1	1	1	0	0	1	0.653846153846154	1	1
Stomolophus_meleagris	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0.743589743589744	1	0.897435897435897	0	1	1	0	1	1	1	1	1	1	0.974358974358974	1	0	0.987179487179487	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1		0.602564102564103	1	1	1	0	0	1	0.653846153846154	1	1
Strigamia_maritima	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0	0.602564102564103	0.602564102564103	0.602564102564103	0.58974358974359	0.602564102564103	0.602564102564103	0	0.602564102564103	0.602564102564103	0	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0	0.58974358974359	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0.602564102564103	0	0.602564102564103	0.602564102564103	0	0.602564102564103	0.602564102564103		0.602564102564103	0.602564102564103	0.602564102564103	0	0	0.602564102564103	0.512820512820513	0.602564102564103	0.602564102564103
Strongylocentrotus_purpuratus	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0.743589743589744	1	0.897435897435897	0	1	1	0	1	1	1	1	1	1	0.974358974358974	1	0	0.987179487179487	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0.602564102564103		1	1	0	0	1	0.653846153846154	1	1
Sycon_ciliatum	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0.743589743589744	1	0.897435897435897	0	1	1	0	1	1	1	1	1	1	0.974358974358974	1	0	0.987179487179487	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0.602564102564103	1		1	0	0	1	0.653846153846154	1	1
Sycon_coactum	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0.743589743589744	1	0.897435897435897	0	1	1	0	1	1	1	1	1	1	0.974358974358974	1	0	0.987179487179487	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0.602564102564103	1	1		0	0	1	0.653846153846154	1	1
Tetracapsuloides_bryosalmonae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Thelohanellus_kitauei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0
Trichoplax_adhaerens	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0.743589743589744	1	0.897435897435897	0	1	1	0	1	1	1	1	1	1	0.974358974358974	1	0	0.987179487179487	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0.602564102564103	1	1	1	0	0		0.653846153846154	1	1
Tripedalia_cystophora	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0	0.653846153846154	0.653846153846154	0.653846153846154	0.5	0.653846153846154	0.653846153846154	0	0.653846153846154	0.653846153846154	0	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0	0.641025641025641	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0.653846153846154	0	0.653846153846154	0.653846153846154	0	0.653846153846154	0.653846153846154	0.512820512820513	0.653846153846154	0.653846153846154	0.653846153846154	0	0	0.653846153846154		0.653846153846154	0.653846153846154
Urticina_eques	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0.743589743589744	1	0.897435897435897	0	1	1	0	1	1	1	1	1	1	0.974358974358974	1	0	0.987179487179487	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0.602564102564103	1	1	1	0	0	1	0.653846153846154		1
Vallicula_multiformis	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0.743589743589744	1	0.897435897435897	0	1	1	0	1	1	1	1	1	1	0.974358974358974	1	0	0.987179487179487	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0.602564102564103	1	1	1	0	0	1	0.653846153846154	1	
